date,no_Frygt/Bekymret,novelty,transience,resonance,nsigma,tsigma,rsigma
2020-06-28,"[0.10118115193596301, 0.12216644856267975, 0.24719486711531177, 0.13368624113050892, 0.075538487821791, 0.2761199285270765, 0.044112874906668924]",0.0007059155679206766,0.0007471193296206287,-4.12037616999521e-05,0.00013535533196907347,0.00021419382625714937,0.0001747745791131114
2020-06-29,"[0.09469372629411671, 0.1164590380531178, 0.28734209775113306, 0.1268324214187027, 0.07155531910113036, 0.26333713989462865, 0.03978025748717067]",0.001077671635480324,0.00022174042697903348,0.0008559312085012905,0.0006622689287946053,3.114723304398462e-05,0.00034670808091929496
2020-06-30,"[0.0919894162549668, 0.12176063765066165, 0.2737972783532696, 0.12640897657531763, 0.07550913408681859, 0.2654311790263452, 0.04510337805262051]",0.0007677977007189441,0.0002510355100047235,0.0005167621907142206,0.000544027550563294,0.00012184846748140075,0.0003329380090223474
2020-07-01,"[0.09454310514720445, 0.11312341809280732, 0.2766530284471727, 0.1278822262958453, 0.07058971796423083, 0.2723749267007628, 0.04483357735197662]",0.00032556154405761806,0.000765759738012586,-0.00044019819395496796,0.00022216920564842652,0.000668418773686764,0.00044529398966759525
2020-07-02,"[0.0952728758901133, 0.11202545296220451, 0.2737534270900088, 0.1282720140743937, 0.07978244414076842, 0.2683864148913284, 0.04250737095118299]",0.00019801819290529092,0.0008062086056794876,-0.0006081904127741966,3.869032307279359e-05,0.00043225745341223817,0.00023547388824251588
2020-07-03,"[0.10347327248095542, 0.12016035857818828, 0.27795257382866323, 0.13067183342668928, 0.07204910461108965, 0.25832986804798347, 0.037362989026430704]",0.0004169134996848245,0.0005587630458044874,-0.00014184954611966288,1.297635158051433e-05,0.0002794487089424219,0.00014621253026146812
2020-07-04,"[0.12381098081195573, 0.11931870293215936, 0.25771281035791416, 0.13234893704431464, 0.07870835388582036, 0.24468165464783506, 0.04341856032000064]",0.0013445654570358406,0.000688542163863443,0.0006560232931723976,0.00031686569175597514,0.00022317220499277156,0.00027001894837437335
2020-07-05,"[0.10812684784177005, 0.1228036260761865, 0.2583912323636673, 0.13297355498041116, 0.07511844884600465, 0.25596446516219823, 0.04662182472976214]",0.0004990954533976619,0.00023082747260442293,0.00026826798079323904,9.150631930882511e-05,9.328880891326981e-05,9.239756411104746e-05
2020-07-06,"[0.10280945033210104, 0.12162684737247784, 0.2796614880302915, 0.13310075854353395, 0.0746991133488668, 0.2441426638275542, 0.04395967854517471]",0.0004451117243540275,0.0007243706028865125,-0.00027925887853248504,0.00021429117391369288,0.0005189972796260915,0.0003666442267698922
2020-07-07,"[0.10020928892277975, 0.11435214458766917, 0.2617518864301785, 0.13396097695752693, 0.07741271057453733, 0.2679853978528259, 0.04432759467448239]",0.0005605687380553212,0.00026603491360332494,0.00029453382445199624,0.00028074153763780834,0.00011944159704850055,0.00020009156734315445
2020-07-08,"[0.10498172091401091, 0.11835634401262901, 0.2663466991481724, 0.13013631261028488, 0.07762428536627815, 0.25889155603387803, 0.043663081914746646]",0.00014891702238483233,0.0006392781178295584,-0.000490361095444726,5.646336555835328e-05,0.00025162013878742034,0.0001540417521728868
2020-07-09,"[0.09699582849491206, 0.12029346514264155, 0.24918945805877232, 0.13232861876364296, 0.07221545227048864, 0.2882701850524672, 0.04070699221707526]",0.0008465413688372899,0.0002569476647691612,0.0005895937040681287,0.00043788721412777506,5.9338467140453774e-05,0.0002486128406341144
2020-07-10,"[0.10286954719507639, 0.12201002066186137, 0.26167803712070414, 0.12818319568571065, 0.07131350122863006, 0.27535927424640283, 0.038586423861614455]",0.0002745415963764558,0.0006218275543193989,-0.0003472859579429431,3.3146372567653057e-05,3.20912883582455e-05,3.261883046294928e-05
2020-07-11,"[0.10359269458047989, 0.11765679182838318, 0.23573039522296993, 0.13568661658336384, 0.0752957853764434, 0.2886654325422148, 0.04337228386614507]",0.00056779021037211,0.00031247434643785944,0.00025531586393425057,0.000290255582579316,0.00020664166210151053,0.00024844862234041327
